local_name,manufacturer_hint,generic_name,active_ingredients,primekg_query_terms,match_confidence,mapping_notes
Aczone Gel,Ali Gohar Pharma,dapsone,dapsone,dapsone,high,Topical acne product; query by active ingredient.
Actifed,GSK,triprolidine plus pseudoephedrine,triprolidine; pseudoephedrine,triprolidine; pseudoephedrine,high,Combination cold product; graph queries may need separate ingredient lookups.
Aloe Vera Gel,Pure Leaf,aloe vera,aloe vera,aloe vera,low,Non-standard topical product; PrimeKG match may be absent.
Amoxil,GSK,amoxicillin,amoxicillin,amoxicillin,high,Brand maps cleanly to a single antibiotic compound.
Arinac,Abbott,ibuprofen plus pseudoephedrine,ibuprofen; pseudoephedrine,ibuprofen; pseudoephedrine,high,Combination cold/flu product.
Arinac Forte,Abott,ibuprofen plus pseudoephedrine,ibuprofen; pseudoephedrine,ibuprofen; pseudoephedrine,high,Combination cold/flu product with higher strengths.
Augmentin,GSK,amoxicillin plus clavulanic acid,amoxicillin; clavulanic acid,amoxicillin; clavulanic acid,high,Combination antibiotic; query each ingredient if needed.
Azomax,Pfizer,azithromycin,azithromycin,azithromycin,high,Brand maps cleanly to a single macrolide antibiotic.
Bactroban,Mupri Pharma,mupirocin,mupirocin,mupirocin,high,Topical antibiotic.
Benylin,Janssen,likely cough syrup combination,diphenhydramine; dextromethorphan,diphenhydramine; dextromethorphan,low,Brand family has multiple formulas; local dataset lacks exact formulation.
Betnovate,GSK,betamethasone valerate,betamethasone valerate,betamethasone,high,Topical steroid; query by steroid compound.
Betnovate-N Gel,GSK,betamethasone plus neomycin,betamethasone; neomycin,betamethasone; neomycin,high,Topical steroid-antibiotic combination.
Brufen,Abbott,ibuprofen,ibuprofen,ibuprofen,high,Brand maps cleanly to ibuprofen.
Broxol,Searle,ambroxol,ambroxol,ambroxol,high,Mucolytic/expectorant brand.
Burnol Gel,Dr. Morepen,nitrofurazone plus chlorhexidine,nitrofurazone; chlorhexidine,nitrofurazone; chlorhexidine,high,Topical burn/wound combination.
Calpol,GSK,paracetamol,paracetamol,paracetamol; acetaminophen,high,Doctor-facing pediatric brand; query by compound.
Canesten,Bayer,clotrimazole,clotrimazole,clotrimazole,high,Topical antifungal.
Candid-B Cream,Glenmark,clotrimazole plus beclomethasone,clotrimazole; beclomethasone,clotrimazole; beclomethasone,high,Combination antifungal-steroid cream.
Caviplex,ATCO Pharma,multivitamin,multivitamin,multivitamin,low,Supplement product; likely weak or absent PrimeKG coverage.
Cefspan,Searle,cefixime,cefixime,cefixime,high,Brand maps cleanly to cefixime.
Celebrex,Pfizer,celecoxib,celecoxib,celecoxib,high,Brand maps cleanly to celecoxib.
Cetamol Cold,GSK,likely paracetamol cold combination,paracetamol; pseudoephedrine,paracetamol; pseudoephedrine,medium,Dataset only shows two-part strength and likely cold-combo formulation.
Cetirizine,AGP or Getz Pharma,cetirizine,cetirizine,cetirizine,high,Already generic in local dataset.
Ciproxin,Bayer,ciprofloxacin,ciprofloxacin,ciprofloxacin,high,Brand maps cleanly to ciprofloxacin.
Claritek,Getz Pharma,clarithromycin,clarithromycin,clarithromycin,high,Brand maps cleanly to clarithromycin.
Clarinase Repetabs,MSD,loratadine plus pseudoephedrine,loratadine; pseudoephedrine,loratadine; pseudoephedrine,high,Combination antihistamine-decongestant.
Coughnil,Sami Pharma,likely cough suppressant combination,dextromethorphan,dextromethorphan,low,Exact formulation absent in CSV; use only as fallback mapping.
Daktarin,Janssen,miconazole,miconazole,miconazole,high,Topical antifungal brand.
Daktarin Gel,Janssen Pharma,miconazole nitrate,miconazole,miconazole,high,Topical/oral gel variant; query by active ingredient.
Dermovate,Novo Nordisk,clobetasol propionate,clobetasol propionate,clobetasol; clobetasol propionate,high,High-potency topical steroid.
Dicloran Gel,Sami Pharma,diclofenac,diclofenac,diclofenac,high,Topical NSAID.
Disprin,Various,aspirin,aspirin,aspirin,high,Brand maps cleanly to aspirin.
